ID	A_coref	B_coref
test-962	True	False
test-963	False	True
test-964	True	False
test-965	False	True
test-966	True	False
test-967	True	False
test-968	False	True
test-969	True	False
test-970	True	False
test-971	True	False
test-972	True	False
test-973	False	True
test-974	False	True
test-975	True	False
test-976	True	False
test-977	True	False
test-978	False	True
test-979	False	True
test-980	False	True
test-981	True	False
test-982	True	False
test-983	False	True
test-984	True	False
test-985	False	False
test-986	False	True
test-987	False	False
test-988	False	True
test-989	True	False
test-990	False	True
test-991	True	False
test-992	False	True
test-993	True	False
test-994	True	False
test-995	True	False
test-996	True	False
test-997	True	False
test-998	True	False
test-999	True	False
test-1000	False	True
test-1001	True	False
test-1002	False	True
test-1003	True	False
test-1004	False	True
test-1005	True	False
test-1006	False	True
test-1007	True	False
test-1008	True	False
test-1009	False	True
test-1010	False	True
test-1011	True	False
test-1012	True	False
test-1013	False	True
test-1014	True	False
test-1015	True	False
test-1016	True	False
test-1017	False	True
test-1018	True	False
test-1019	True	False
test-1020	False	False
test-1021	True	False
test-1022	False	True
test-1023	True	False
test-1024	True	False
test-1025	True	False
test-1026	True	False
test-1027	True	False
test-1028	True	False
test-1029	False	True
test-1030	True	False
test-1031	False	False
test-1032	False	True
test-1033	True	False
test-1034	True	False
test-1035	False	True
test-1036	True	False
test-1037	True	False
test-1038	True	False
test-1039	True	False
test-1040	True	False
test-1041	True	False
test-1042	True	False
test-1043	False	True
test-1044	False	True
test-1045	True	False
test-1046	True	False
test-1047	True	False
test-1048	True	False
test-1049	True	False
test-1050	True	False
test-1051	True	False
test-1052	True	False
test-1053	False	True
test-1054	False	True
test-1055	False	True
test-1056	True	False
test-1057	False	False
test-1058	False	True
test-1059	False	False
test-1060	True	False
test-1061	False	True
test-1062	False	True
test-1063	False	True
test-1064	False	True
test-1065	True	False
test-1066	False	True
test-1067	True	False
test-1068	True	False
test-1069	False	True
test-1070	True	False
test-1071	False	True
test-1072	True	False
test-1073	True	False
test-1074	False	True
test-1075	True	False
test-1076	False	True
test-1077	True	False
test-1078	False	True
test-1079	False	False
test-1080	False	True
test-1081	False	True
test-1082	False	True
test-1083	True	False
test-1084	True	False
test-1085	True	False
test-1086	True	False
test-1087	True	False
test-1088	False	True
test-1089	True	False
test-1090	True	False
test-1091	True	False
test-1092	True	False
test-1093	False	True
test-1094	False	True
test-1095	False	True
test-1096	False	True
test-1097	True	False
test-1098	False	True
test-1099	True	False
test-1100	False	True
test-1101	True	False
test-1102	True	False
test-1103	False	True
test-1104	False	True
test-1105	False	True
test-1106	True	False
test-1107	True	False
test-1108	True	False
test-1109	False	True
test-1110	False	True
test-1111	False	True
test-1112	False	True
test-1113	False	True
test-1114	True	False
test-1115	True	False
test-1116	True	False
test-1117	True	False
test-1118	True	False
test-1119	False	False
test-1120	True	False
test-1121	True	False
test-1122	False	True
test-1123	False	True
test-1124	False	True
test-1125	False	True
test-1126	False	True
test-1127	False	True
test-1128	False	True
test-1129	True	False
test-1130	True	False
test-1131	True	False
test-1132	False	True
test-1133	False	True
test-1134	True	False
test-1135	False	True
test-1136	False	True
test-1137	False	True
test-1138	False	True
test-1139	True	False
test-1140	True	False
test-1141	True	False
test-1142	False	True
test-1143	False	True
test-1144	False	True
test-1145	True	False
test-1146	False	True
test-1147	False	True
test-1148	False	True
test-1149	False	True
test-1150	False	True
test-1151	True	False
test-1152	True	False
test-1153	True	False
test-1154	False	True
test-1155	False	True
test-1156	False	True
test-1157	False	True
test-1158	True	False
test-1159	True	False
test-1160	False	True
test-1161	False	True
test-1162	True	False
test-1163	True	False
test-1164	True	False
test-1165	True	False
test-1166	True	False
test-1167	True	False
test-1168	False	True
test-1169	False	False
test-1170	True	False
test-1171	True	False
test-1172	False	True
test-1173	True	False
test-1174	True	False
test-1175	False	True
test-1176	False	True
test-1177	False	True
test-1178	True	False
test-1179	True	False
test-1180	False	True
test-1181	False	True
test-1182	True	False
test-1183	True	False
test-1184	True	False
test-1185	False	True
test-1186	False	True
test-1187	False	True
test-1188	True	False
test-1189	False	True
test-1190	True	False
test-1191	True	False
test-1192	True	False
test-1193	False	True
test-1194	False	True
test-1195	False	True
test-1196	False	False
test-1197	False	True
test-1198	False	True
test-1199	False	True
test-1200	True	False
test-1201	True	False
test-1202	True	False
test-1203	False	True
test-1204	True	False
test-1205	False	True
test-1206	True	False
test-1207	False	True
test-1208	True	False
test-1209	True	False
test-1210	False	True
test-1211	False	True
test-1212	False	True
test-1213	False	True
test-1214	True	False
test-1215	True	False
test-1216	False	True
test-1217	False	True
test-1218	False	True
test-1219	True	False
test-1220	True	False
test-1221	False	True
test-1222	False	True
test-1223	False	False
test-1224	True	False
test-1225	False	True
test-1226	False	True
test-1227	False	True
test-1228	False	True
test-1229	True	False
test-1230	True	False
test-1231	False	True
test-1232	True	False
test-1233	True	False
test-1234	True	False
test-1235	False	True
test-1236	False	True
test-1237	False	True
test-1238	True	False
test-1239	False	True
test-1240	True	False
test-1241	False	True
test-1242	False	True
test-1243	False	True
test-1244	True	False
test-1245	True	False
test-1246	True	False
test-1247	False	True
test-1248	True	False
test-1249	True	False
test-1250	False	True
test-1251	False	True
test-1252	True	False
test-1253	False	True
test-1254	False	True
test-1255	False	True
test-1256	True	False
test-1257	False	True
test-1258	True	False
test-1259	True	False
test-1260	False	True
test-1261	False	True
test-1262	True	False
test-1263	False	True
test-1264	True	False
test-1265	False	True
test-1266	True	False
test-1267	False	True
test-1268	True	False
test-1269	True	False
test-1270	True	False
test-1271	False	True
test-1272	True	False
test-1273	True	False
test-1274	True	False
test-1275	False	True
test-1276	False	True
test-1277	True	False
test-1278	True	False
test-1279	True	False
test-1280	False	True
test-1281	True	False
test-1282	False	True
test-1283	True	False
test-1284	False	True
test-1285	True	False
test-1286	True	False
test-1287	False	True
test-1288	False	True
test-1289	False	True
test-1290	True	False
test-1291	True	False
test-1292	False	True
test-1293	False	True
test-1294	True	False
test-1295	False	False
test-1296	True	False
test-1297	False	True
test-1298	True	False
test-1299	False	True
test-1300	True	False
test-1301	True	False
test-1302	False	False
test-1303	False	True
test-1304	True	False
test-1305	False	True
test-1306	True	False
test-1307	True	False
test-1308	True	False
test-1309	True	False
test-1310	False	True
test-1311	False	True
test-1312	False	True
test-1313	True	False
test-1314	False	True
test-1315	False	False
test-1316	False	True
test-1317	True	False
test-1318	True	False
test-1319	True	False
test-1320	False	True
test-1321	False	True
test-1322	False	True
test-1323	True	False
test-1324	True	False
test-1325	False	False
test-1326	False	True
test-1327	False	True
test-1328	False	True
test-1329	True	False
test-1330	True	False
test-1331	True	False
test-1332	False	True
test-1333	True	False
test-1334	True	False
test-1335	False	True
test-1336	True	False
test-1337	False	True
test-1338	True	False
test-1339	False	True
test-1340	False	True
test-1341	True	False
test-1342	True	False
test-1343	True	False
test-1344	False	True
test-1345	True	False
test-1346	False	True
test-1347	True	False
test-1348	True	False
test-1349	True	False
test-1350	True	False
test-1351	False	True
test-1352	False	True
test-1353	True	False
test-1354	True	False
test-1355	True	False
test-1356	True	False
test-1357	False	True
test-1358	True	False
test-1359	False	False
test-1360	True	False
test-1361	False	True
test-1362	False	True
test-1363	True	False
test-1364	False	True
test-1365	True	False
test-1366	False	True
test-1367	True	False
test-1368	False	True
test-1369	True	False
test-1370	True	False
test-1371	True	False
test-1372	True	False
test-1373	False	True
test-1374	True	False
test-1375	False	True
test-1376	False	True
test-1377	False	True
test-1378	True	False
test-1379	False	True
test-1380	True	False
test-1381	False	True
test-1382	False	True
test-1383	True	False
test-1384	False	False
test-1385	True	False
test-1386	True	False
test-1387	True	False
test-1388	False	True
test-1389	False	True
test-1390	True	False
test-1391	True	False
test-1392	False	True
test-1393	False	True
test-1394	False	True
test-1395	False	True
test-1396	True	False
test-1397	False	False
test-1398	True	False
test-1399	True	False
test-1400	False	True
test-1401	False	True
test-1402	True	False
test-1403	False	True
test-1404	True	False
test-1405	False	True
test-1406	False	True
test-1407	False	True
test-1408	False	True
test-1409	True	False
test-1410	True	False
test-1411	True	False
test-1412	False	True
test-1413	True	False
test-1414	False	True
test-1415	False	True
test-1416	True	False
test-1417	False	True
test-1418	True	False
test-1419	True	False
test-1420	False	True
test-1421	True	False
test-1422	False	True
test-1423	True	False
test-1424	True	False
test-1425	False	True
test-1426	True	False
test-1427	False	True
test-1428	False	True
test-1429	False	True
test-1430	True	False
test-1431	True	False
test-1432	True	False
test-1433	True	False
test-1434	False	True
test-1435	False	True
test-1436	True	False
test-1437	True	False
test-1438	True	False
test-1439	True	False
test-1440	False	True
test-1441	False	True
test-1442	False	True
test-1443	True	False
test-1444	False	True
test-1445	False	True
test-1446	False	True
test-1447	False	True
test-1448	False	True
test-1449	True	False
test-1450	True	False
test-1451	True	False
test-1452	True	False
test-1453	False	True
test-1454	False	True
test-1455	True	False
test-1456	True	False
test-1457	False	True
test-1458	True	False
test-1459	True	False
test-1460	True	False
test-1461	True	False
test-1462	True	False
test-1463	False	True
test-1464	False	True
test-1465	True	False
test-1466	True	False
test-1467	True	False
test-1468	False	True
test-1469	True	False
test-1470	True	False
test-1471	True	False
test-1472	False	True
test-1473	True	False
test-1474	True	False
test-1475	True	False
test-1476	False	False
test-1477	False	True
test-1478	False	True
test-1479	True	False
test-1480	False	True
test-1481	True	False
test-1482	True	False
test-1483	False	True
test-1484	False	True
test-1485	True	False
test-1486	False	True
test-1487	True	False
test-1488	False	True
test-1489	True	False
test-1490	True	False
test-1491	True	False
test-1492	False	True
test-1493	True	False
test-1494	True	False
test-1495	False	True
test-1496	True	False
test-1497	True	False
test-1498	True	False
test-1499	False	True
test-1500	False	True
test-1501	True	False
test-1502	False	True
test-1503	False	True
test-1504	False	True
test-1505	False	True
test-1506	False	True
test-1507	True	False
test-1508	True	False
test-1509	True	False
test-1510	False	True
test-1511	True	False
test-1512	False	True
test-1513	False	True
test-1514	False	True
test-1515	True	False
test-1516	False	True
test-1517	False	True
test-1518	False	True
test-1519	True	False
test-1520	False	True
test-1521	True	False
test-1522	True	False
test-1523	True	False
test-1524	True	False
test-1525	False	True
test-1526	False	False
test-1527	False	True
test-1528	False	True
test-1529	False	True
test-1530	False	True
test-1531	True	False
test-1532	True	False
test-1533	False	True
test-1534	True	False
test-1535	True	False
test-1536	False	True
test-1537	False	True
test-1538	True	False
test-1539	True	False
test-1540	False	True
test-1541	True	False
test-1542	True	False
test-1543	True	False
test-1544	True	False
test-1545	False	True
test-1546	True	False
test-1547	True	False
test-1548	True	False
test-1549	True	False
test-1550	False	True
test-1551	True	False
test-1552	False	True
test-1553	True	False
test-1554	False	True
test-1555	False	True
test-1556	False	True
test-1557	True	False
test-1558	False	True
test-1559	True	False
test-1560	True	False
test-1561	False	True
test-1562	True	False
test-1563	True	False
test-1564	False	False
test-1565	True	False
test-1566	True	False
test-1567	False	True
test-1568	False	True
test-1569	True	False
test-1570	True	False
test-1571	False	False
test-1572	True	False
test-1573	False	True
test-1574	False	True
test-1575	True	False
test-1576	False	True
test-1577	True	False
test-1578	True	False
test-1579	True	False
test-1580	True	False
test-1581	False	True
test-1582	False	True
test-1583	True	False
test-1584	True	False
test-1585	False	True
test-1586	False	True
test-1587	True	False
test-1588	True	False
test-1589	False	True
test-1590	False	True
test-1591	True	False
test-1592	True	False
test-1593	False	True
test-1594	False	True
test-1595	False	True
test-1596	True	False
test-1597	True	False
test-1598	True	False
test-1599	True	False
test-1600	True	False
test-1601	False	True
test-1602	True	False
test-1603	False	False
test-1604	True	False
test-1605	False	True
test-1606	True	False
test-1607	False	True
test-1608	True	False
test-1609	True	False
test-1610	True	False
test-1611	False	False
test-1612	False	False
test-1613	True	False
test-1614	True	False
test-1615	False	True
test-1616	False	True
test-1617	False	True
test-1618	True	False
test-1619	False	True
test-1620	False	True
test-1621	True	False
test-1622	True	False
test-1623	False	True
test-1624	True	False
test-1625	True	False
test-1626	True	False
test-1627	False	True
test-1628	True	False
test-1629	False	True
test-1630	True	False
test-1631	False	False
test-1632	False	True
test-1633	False	True
test-1634	False	True
test-1635	False	True
test-1636	False	True
test-1637	True	False
test-1638	False	True
test-1639	True	False
test-1640	False	True
test-1641	False	True
test-1642	True	False
test-1643	True	False
test-1644	True	False
test-1645	False	True
test-1646	False	True
test-1647	True	False
test-1648	True	False
test-1649	False	True
test-1650	True	False
test-1651	False	True
test-1652	True	False
test-1653	True	False
test-1654	True	False
test-1655	True	False
test-1656	False	True
test-1657	True	False
test-1658	False	True
test-1659	True	False
test-1660	True	False
test-1661	True	False
test-1662	True	False
test-1663	True	False
